time_start,time_end,model,launch_place,target,destroyed_details,carrier,launched,destroyed,source
2024-05-20,2024-05-20 08:00,Iskander-M,,Odesa oblast,,,1.0,0,PvKPivden/posts/pfbid0DWqqtVtegs3McvoZPzNZqYjMZbabPBNeJ9ui6hgx7qfckAqgyt5NuvZDjHvAKSeXl
2024-05-20,2024-05-20,Supercam,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid0neWEb7VBxTMoc1SkbzS8kGvR8LugQ6N9k1CZH5wnKTJ4h296R5ppC8ZULtaCQEiel
2024-05-20,2024-05-20,Orlan-10,,Odesa oblast,,,1.0,1,PvKPivden/posts/pfbid0neWEb7VBxTMoc1SkbzS8kGvR8LugQ6N9k1CZH5wnKTJ4h296R5ppC8ZULtaCQEiel
2024-05-20,2024-05-20,Lancet,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid0neWEb7VBxTMoc1SkbzS8kGvR8LugQ6N9k1CZH5wnKTJ4h296R5ppC8ZULtaCQEiel
2024-05-19 18:00,2024-05-19 18:00,X-59/X-69,,"Dnipropetrovsk oblast, Novomoskovsk Raion",,,1.0,1,pvkshid/posts/pfbid02CZagij6XW5BGFHjBJSGZtk6MoNvFtanPsZSqqL58xRDBHZ77DC4we1iXkAakv47ql
2024-05-19,2024-05-19 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast,Ukraine,"{'Odesa oblast': 20, 'Mykolaiv oblast': 1, 'Kherson oblast': 1, 'Kyiv oblast': NaN,     'Sumy oblast': NaN, 'Vinnytsia oblast': NaN, 'Cherkasy oblast': NaN, 'Zhytomyr oblast': NaN}",,37.0,37,kpszsu/posts/pfbid0q7TawTsmqP2Jj3NDGx2SttpjfrDVeh7yxWbqzx2pP2VmHvVsEcDWfAtEWrp11zbgl
2024-05-19,2024-05-19 08:00,Orlan-10,,Odesa oblast,,,1.0,1,PvKPivden/posts/pfbid0HDSVfWJh6SVSqBr16zDzhbn2R3d9ShP5JR3WUHhe4jREs843r8en94wPA6NHmyZrl
2024-05-18 16:00,2024-05-18 16:00,X-59/X-69,,Dnipropetrovsk oblast,,,1.0,1,pvkshid/posts/pfbid0S8YsF8yYvYBkw4jAeS8NSeW4FDdw9HnGA13hcyPqzPTxAB7LMGRN38QumCyhtbSbl
2024-05-18 16:00,2024-05-18 16:00,Supercam,,Dnipropetrovsk oblast,,,1.0,1,pvkshid/posts/pfbid0S8YsF8yYvYBkw4jAeS8NSeW4FDdw9HnGA13hcyPqzPTxAB7LMGRN38QumCyhtbSbl
2024-05-18 16:00,2024-05-18 16:00,Shahed-136/131,,Dnipropetrovsk oblast,,,1.0,1,pvkshid/posts/pfbid0S8YsF8yYvYBkw4jAeS8NSeW4FDdw9HnGA13hcyPqzPTxAB7LMGRN38QumCyhtbSbl
